,Location,Crop,Qualifier,Crop.name.in.original.data,Plant.start,Plant.start.date,Plant.end,Plant.end.date,Plant.median,Plant.range,Harvest.start,Harvest.start.date,Harvest.end,Harvest.end.date,Harvest.median,Harvest.range,full.crop.name,tot.days,lat.avg,lon.avg,harvested.area,tmin.day.avg,temp.average,precip.average,temp.min,precip.min,temp.max,precip.max,temp.min.month,precip.min.month,temp.max.month,precip.max.month,temp.at.planting,precip.at.planting,sunfrac.at.planting,daylength.at.planting,dsw.at.planting,precip.over.pet.min,precip.over.pet.min.day,precip.over.pet.max,precip.over.pet.max.day,precip.over.pet.at.planting,apr.to.sept.temp.anomaly,apr.to.sept.precip.frac,gdd.base.0.between.plant.and.harvest,gdd.base.4.between.plant.and.harvest,gdd.base.5.between.plant.and.harvest,gdd.base.8.between.plant.and.harvest,gdd.base.10.between.plant.and.harvest,gdd.base.0,gdd.base.4,gdd.base.5,gdd.base.8,gdd.base.10,gdd.base.0.from.plant.until.cold,gdd.base.4.from.plant.until.cold,gdd.base.5.from.plant.until.cold,gdd.base.8.from.plant.until.cold,gdd.base.10.from.plant.until.cold,ndays.growing.season.below.0,ndays.growing.season.below.5,ndays.growing.season.below.10,ndays.growing.season.below.12,ndays.growing.season.below.15,ndays.growing.season.below.17,ndays.below.0,ndays.below.5,ndays.below.10,ndays.below.12,ndays.below.15,ndays.below.17,LGP,LGP.T,LGP.P,LGP.tmin5.tmax100,LGP.T.tmin5.tmax100,LGP.P.tmin5.tmax100,temp.growing.season,precip.growing.season,ndays.since.snowfrac_0.5,ndays.since.snowfrac_0.1,ndays.since.snowfrac_0.05,ndays.since.snowfrac_0,climate.category,misclassified,climate.category.string
18,Andhra Pradesh,Sorghum,,Jowar (Kharif),155,06-Apr,189,07-Aug,172,35,267,Sep-24,301,Oct-28,284,35,Sorghum,112,18.44342661,78.6094515,2005.333826,7.457127177,27.12092162,84.57636315,21.59810061,4.364823449,33.77935302,267.2816644,12,1,5,7,29.84426688,168.6814992,0.423621006,14.04745915,212.0297494,0.033025963,16,2.006030555,197,1.083766896,2.444269187,1.762396627,3049.086192,2601.086192,2489.086192,2153.086192,1929.086192,9719.914977,8259.914977,7894.914977,6799.914977,6069.914977,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,136,365,136,136,365,136,27.22398386,212.7923435,365,365,365,365,3,FALSE,3
19,Andhra Pradesh,Sorghum,2,Jowar (Rabi),295,Oct-22,329,Nov-25,312,35,36,02-May,70,03-Nov,53,35,Sorghum.2,106,14.34367287,79.77231134,5.196964374,12.91748205,28.99425641,81.61211616,24.59959393,5.702336342,33.67821807,237.5599583,1,2,5,10,26.45787638,229.2034094,0.579772815,12.27607881,198.9980483,0.032178464,71,1.712682279,319,1.684434102,2.482565099,0.829125867,2687.403767,2263.403767,2157.403767,1839.403767,1627.403767,10322.25233,8862.252328,8497.252328,7402.252328,6672.252328,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,171,365,171,171,365,171,25.35286572,76.6714226,365,365,365,365,4,TRUE,4X
20,Andhra Pradesh,Sorghum,2,Jowar (Rabi),260,Sep-17,287,Oct-14,273.5,28,1,01-Jan,28,Jan-28,14.5,28,Sorghum.2,106,15.47712033,77.9046424,1106.421406,11.02535658,27.91589395,50.23560461,23.37453379,0.342823588,32.86016956,134.9511352,12,1,5,9,27.32824519,111.7986697,0.520896758,12.71774439,211.1644708,0.002527132,16,0.922056553,258,0.752292947,1.926731385,1.573800318,2643.158687,2219.158687,2113.158687,1795.158687,1583.158687,10021.21534,8561.215344,8196.215344,7101.215344,6371.215344,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,126,365,126,126,365,126,24.93545931,35.73620107,365,365,365,365,3,TRUE,3X
21,Andhra Pradesh,Groundnuts,,Groundnut (Kharif),176,Jun-25,224,08-Dec,200,49,288,Oct-15,336,12-Feb,312,49,Groundnuts,112,13.58139684,79.14299002,2479.6502,11.02606974,27.14516224,73.99976542,23.02838146,6.743182231,31.59034593,174.6472593,12,1,5,10,28.48348481,96.88141409,0.381073141,13.59232041,195.9424781,0.040041897,45,1.22648917,289,0.684625609,2.216632416,1.100831179,3053.62239,2605.62239,2493.62239,2157.62239,1933.62239,9856.113478,8396.113478,8031.113478,6936.113478,6206.113478,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,171,365,171,171,365,171,27.26448563,136.164395,365,365,365,365,3,FALSE,3
22,Andhra Pradesh,Groundnuts,,Groundnut (Kharif),176,Jun-25,231,Aug-19,203.5,56,281,10-Aug,336,12-Feb,308.5,56,Groundnuts,105,14.66562092,77.77445299,10892.72776,10.90322292,27.42175981,49.40169801,23.16237784,1.022730459,31.9642567,131.8058762,12,1,4,9,27.60395059,75.27557702,0.33500402,13.62491224,186.7691634,0.007176962,16,0.910068274,258,0.56310411,1.783213295,1.416351524,2824.004587,2404.004587,2299.004587,1984.004587,1774.004587,9904.716662,8444.716662,8079.716662,6984.716662,6254.716662,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,117,365,117,117,365,117,26.89528178,100.5906974,365,365,365,365,3,FALSE,3
23,Andhra Pradesh,Groundnuts,,Groundnut (Kharif),162,06-Nov,203,Jul-22,182.5,42,274,10-Jan,322,Nov-18,298,49,Groundnuts,115.5,17.8022657,79.75867408,972.0683271,9.691424536,27.68151512,83.1207056,22.53986587,4.942235896,33.75611278,258.4769181,12,1,5,7,29.63843811,205.5515651,0.389160111,13.97886958,202.9996632,0.032808582,45,1.875528446,197,1.380587009,2.388999318,1.699571996,3213.285758,2749.285758,2633.285758,2285.285758,2053.285758,9916.239836,8456.239836,8091.239836,6996.239836,6266.239836,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,145,365,145,145,365,145,27.70073929,187.7384873,365,365,365,365,3,FALSE,3
24,Andhra Pradesh,Groundnuts,,Groundnut (Kharif),113,Apr-23,168,Jun-17,140.5,56,218,08-Jun,273,Sep-30,245.5,56,Groundnuts,105,18.40377772,83.47002971,1360.51017,8.58891068,26.59599141,96.08880111,21.86498067,5.938172563,30.66102407,208.8575676,12,12,5,8,30.50281893,80.07703063,0.597134105,13.84559762,252.1185858,0.051208214,350,1.541968469,197,0.431636956,2.229968794,1.478237221,3001.843915,2581.843915,2476.843915,2161.843915,1951.843915,9698.459996,8238.459996,7873.459996,6778.459996,6048.459996,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,172,365,172,172,365,172,28.62703778,174.4982449,365,365,365,365,3,FALSE,3
25,Andhra Pradesh,Groundnuts,2,Groundnut (Rabi),309,11-May,357,Dec-23,333,49,57,Feb-26,105,Apr-15,81,49,Groundnuts.2,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
26,Andhra Pradesh,Groundnuts,2,Groundnut (Rabi),253,09-Oct,280,10-Jul,266.5,28,351,Dec-17,21,Jan-21,3.5,36,Groundnuts.2,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
27,Andhra Pradesh,Cotton,,Cotton,183,07-Feb,238,Aug-26,210.5,56,15,Jan-15,63,03-Apr,39,49,Cotton,193.5,15.47712033,77.9046424,461.2159997,11.02535658,27.91589396,50.2356046,23.37453379,0.342823588,32.86016956,134.9511351,12,1,5,9,27.97448432,101.6848835,0.342968626,13.59728925,189.142007,0.002527132,16,0.922056553,258,0.747013425,1.926731385,1.573800318,5011.137517,4235.137517,4041.137517,3459.137517,3071.137517,10021.21534,8561.215344,8196.215344,7101.215344,6371.215344,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,126,365,126,126,365,126,25.83060576,57.37136147,365,365,365,365,3,FALSE,3
28,Andhra Pradesh,Cotton,,Cotton,155,06-Apr,224,08-Dec,189.5,70,316,11-Dec,28,Jan-28,354.5,78,Cotton,165,16.14232396,80.09549703,965.3569077,12.15954501,28.31706289,70.70595365,23.86281968,2.483287537,33.28887147,155.562512,12,1,5,9,30.02605213,132.8623775,0.386028248,13.82847098,200.1246256,0.01783362,16,1.030147931,258,0.900352175,2.306298515,1.40076417,4544.789994,3884.789994,3719.789994,3224.789994,2894.789994,10158.03024,8698.030245,8333.030245,7238.030245,6508.030245,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,161,365,161,161,365,161,27.54418178,117.3020718,365,365,365,365,3,FALSE,3
29,Andhra Pradesh,Cotton,,Cotton,43,02-Dec,91,04-Jan,67,49,197,Jul-16,238,Aug-26,217.5,42,Cotton,150.5,14.34367287,79.77231134,33.26090271,12.91748205,28.99425641,81.61211613,24.59959392,5.70233634,33.67821807,237.5599582,1,2,5,10,28.41633512,6.067956671,0.770342739,12.66410205,265.5489486,0.032178464,71,1.712682277,319,0.032196585,2.482565098,0.829125867,4515.308274,3911.308274,3760.308274,3307.308274,3005.308274,10322.25233,8862.252327,8497.252327,7402.252327,6672.252327,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,171,365,171,171,365,171,31.61189592,45.56051953,365,365,365,365,4,TRUE,4X
30,Assam,Rice,3,Paddy (Summer),50,Feb-19,98,04-Aug,74,49,162,06-Nov,224,08-Dec,193,63,Rice.3,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
31,Assam,Rice,3,Paddy (Summer),71,03-Dec,112,Apr-22,91.5,42,190,07-Sep,245,09-Feb,217.5,56,Rice.3,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
32,Assam,Rice,,Paddy (Kharif),155,06-Apr,203,Jul-22,179,49,267,Sep-24,343,12-Sep,305,77,Rice,126,26.24262688,90.13150174,2631.901202,2.43192867,24.10031149,234.6920003,16.95646248,5.247223104,28.19800044,630.3127918,1,12,8,6,27.68398015,621.2157646,0.316563334,14.64259335,194.0844611,0.062343454,350,4.601916593,196,4.464537113,3.102976865,1.819199354,3425.968808,2921.968808,2795.968808,2417.968808,2165.968808,8803.707425,7343.707425,6978.707425,5883.707425,5153.707425,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,2,230,365,230,230,365,230,27.19022864,380.0558892,365,365,40,-365,3,FALSE,3
33,Assam,Rice,,Paddy (Kharif),148,May-28,196,Jul-15,172,49,281,10-Aug,336,12-Feb,308.5,56,Rice,136.5,26.38261692,91.52889012,7692.145827,3.595064728,23.91815289,175.127538,16.61417587,8.790008896,28.43221815,437.3623799,1,12,8,6,27.89765741,434.9709716,0.33594448,14.6698546,199.1532925,0.103719743,350,3.117987706,196,3.041212322,3.328892047,1.79109182,3733.191644,3185.191644,3048.191644,2637.191644,2363.191644,8738.17913,7278.17913,6913.17913,5818.17913,5088.17913,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,16,226,365,226,226,365,226,27.24957404,269.1544876,365,365,178,-365,3,FALSE,3
34,Assam,Rice,,Paddy (Kharif),141,May-21,189,07-Aug,165,49,288,Oct-15,329,Nov-25,308.5,42,Rice,143.5,26.33630908,93.2728428,4299.879382,3.472449903,23.82834304,160.3833441,16.99663392,13.118004,28.10613285,381.3214844,1,12,8,7,27.56122903,330.749877,0.348712943,14.65043338,202.1984257,0.150605523,350,2.779164112,196,2.290558114,3.122337365,1.718612237,3899.982,3323.982,3179.982,2747.982,2459.982,8705.097962,7245.097962,6880.097962,5785.097962,5055.097962,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,232,365,232,232,365,232,27.08320833,260.928713,365,365,172,-47,3,FALSE,3
35,Assam,Rice,,Paddy (Kharif),162,06-Nov,203,Jul-22,182.5,42,302,Oct-29,343,12-Sep,322.5,42,Rice,140,24.76987632,92.77928693,1828.293841,3.847939137,23.58645056,231.9135069,16.96889398,9.753299099,27.07102227,544.4833739,1,12,8,6,26.80770638,503.9783958,0.265538693,14.50233623,180.5983932,0.105629517,350,4.130614287,166,3.925813835,2.862934779,1.681768397,3636.431981,3076.431981,2936.431981,2516.431981,2236.431981,8615.995456,7155.995456,6790.995456,5695.995456,4965.995456,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,263,365,263,263,365,263,25.97451415,303.6424373,365,365,365,122,3,FALSE,3
36,Assam,Rice,,Paddy (Kharif),176,Jun-25,217,08-May,196.5,42,316,11-Dec,343,12-Sep,329.5,28,Rice,133,26.68062769,93.31880243,2580.726889,3.405839706,23.85041014,164.6014324,16.91370874,14.05100746,28.28881831,409.9489973,1,12,8,7,28.09300849,409.9489973,0.323534257,14.51167041,193.8593024,0.163755084,350,2.924686027,196,2.923591514,3.216215977,1.749307818,3481.419191,2949.419191,2816.419191,2417.419191,2151.419191,8713.332162,7253.332162,6888.332162,5793.332162,5063.332162,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,4,227,365,227,227,365,227,26.17608414,210.1874469,365,365,365,-365,3,FALSE,3
